"id","foodName","path","publicUrl"
"s1e1-songrong","松茸","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e1-songrong.png","/food-images/s1e1-songrong.png"
"s1e1-dongsun","冬笋","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e1-dongsun.png","/food-images/s1e1-dongsun.png"
"s1e1-suanxun-xiaohuangyu","黄豆酸笋小黄鱼","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e1-suanxun-xiaohuangyu.png","/food-images/s1e1-suanxun-xiaohuangyu.png"
"s1e1-nuodeng-ham","诺邓火腿","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e1-nuodeng-ham.png","/food-images/s1e1-nuodeng-ham.png"
"s1e1-lianou","莲藕","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e1-lianou.png","/food-images/s1e1-lianou.png"
"s1e1-chaganhu-fish","查干湖冬季捕鱼","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e1-chaganhu-fish.png","/food-images/s1e1-chaganhu-fish.png"
"s1e1-nanhai-fish","南海远洋打渔","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e1-nanhai-fish.png","/food-images/s1e1-nanhai-fish.png"
"s1e2-xiangfen-noodles","襄汾面食","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e2-xiangfen-noodles.png","/food-images/s1e2-xiangfen-noodles.png"
"s1e2-huangmomo","黄馍馍","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e2-huangmomo.png","/food-images/s1e2-huangmomo.png"
"s1e2-zhushengmian","竹升面","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e2-zhushengmian.png","/food-images/s1e2-zhushengmian.png"
"s1e2-wonton-noodle","云吞捞面","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e2-wonton-noodle.png","/food-images/s1e2-wonton-noodle.png"
"s1e2-saozi-noodle","臊子面","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e2-saozi-noodle.png","/food-images/s1e2-saozi-noodle.png"
"s1e2-zongzi","粽子","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e2-zongzi.png","/food-images/s1e2-zongzi.png"
"s1e3-jianshui-tofu","建水烧豆腐","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e3-jianshui-tofu.png","/food-images/s1e3-jianshui-tofu.png"
"s1e3-shiping-tofu","石屏豆腐","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e3-shiping-tofu.png","/food-images/s1e3-shiping-tofu.png"
"s1e3-shouxian-tofu","嫩豆腐","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e3-shouxian-tofu.png","/food-images/s1e3-shouxian-tofu.png"
"s1e3-maodoufu","毛豆腐","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e3-maodoufu.png","/food-images/s1e3-maodoufu.png"
"s1e3-sauerkraut","酸菜","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e3-sauerkraut.png","/food-images/s1e3-sauerkraut.png"
"s1e4-claypot-rice","煲仔饭","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e4-claypot-rice.png","/food-images/s1e4-claypot-rice.png"
"s1e4-nanan-duck","南安腊鸭","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e4-nanan-duck.png","/food-images/s1e4-nanan-duck.png"
"s1e4-yan-hehua-fish","腌禾花鱼","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e4-yan-hehua-fish.png","/food-images/s1e4-yan-hehua-fish.png"
"s1e4-larou","腊肉","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e4-larou.png","/food-images/s1e4-larou.png"
"s1e4-chouguiyu","臭鳜鱼","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e4-chouguiyu.png","/food-images/s1e4-chouguiyu.png"
"s1e4-daobanxiang","刀板香火腿","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e4-daobanxiang.png","/food-images/s1e4-daobanxiang.png"
"s1e4-jinhua-ham","金华火腿","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e4-jinhua-ham.png","/food-images/s1e4-jinhua-ham.png"
"s1e4-drunken-crab","醉蟹","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e4-drunken-crab.png","/food-images/s1e4-drunken-crab.png"
"s1e4-xiapu-zicai","紫菜","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e4-xiapu-zicai.png","/food-images/s1e4-xiapu-zicai.png"
"s1e4-wuyuzi","乌鱼子","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e4-wuyuzi.png","/food-images/s1e4-wuyuzi.png"
"s1e4-shrimp-paste","虾膏","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e4-shrimp-paste.png","/food-images/s1e4-shrimp-paste.png"
"s1e4-shrimp-sauce","虾酱","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e4-shrimp-sauce.png","/food-images/s1e4-shrimp-sauce.png"
"s1e5-fenge-steamed-pork","粉葛蒸肉","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e5-fenge-steamed-pork.png","/food-images/s1e5-fenge-steamed-pork.png"
"s1e5-shiyu","雪花鲥鱼","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e5-shiyu.png","/food-images/s1e5-shiyu.png"
"s1e5-lion-head","清炖狮子头","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e5-lion-head.png","/food-images/s1e5-lion-head.png"
"s1e5-wensi-tofu","文思豆腐","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e5-wensi-tofu.png","/food-images/s1e5-wensi-tofu.png"
"s1e5-changsha-stinky-tofu","油炸臭豆腐","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e5-changsha-stinky-tofu.png","/food-images/s1e5-changsha-stinky-tofu.png"
"s1e6-tangcong-pancake","糖葱薄饼","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e6-tangcong-pancake.png","/food-images/s1e6-tangcong-pancake.png"
"s1e6-smoked-duck","蔗渣熏鸭脯","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e6-smoked-duck.png","/food-images/s1e6-smoked-duck.png"
"s1e6-xiaolong","加蟹开口小笼馒头","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e6-xiaolong.png","/food-images/s1e6-xiaolong.png"
"s1e6-wuxi-ribs","酱排骨","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e6-wuxi-ribs.png","/food-images/s1e6-wuxi-ribs.png"
"s1e6-chenpi","陈皮","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e6-chenpi.png","/food-images/s1e6-chenpi.png"
"s1e6-chenpi-duck","陈皮鸭","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e6-chenpi-duck.png","/food-images/s1e6-chenpi-duck.png"
"s1e6-salt-baked-chicken","盐焗鸡","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e6-salt-baked-chicken.png","/food-images/s1e6-salt-baked-chicken.png"
"s1e6-vinegar","香醋","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e6-vinegar.png","/food-images/s1e6-vinegar.png"
"s1e6-vinegar-ribs","醋排","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e6-vinegar-ribs.png","/food-images/s1e6-vinegar-ribs.png"
"s1e6-chongqing-hotpot","重庆火锅","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e6-chongqing-hotpot.png","/food-images/s1e6-chongqing-hotpot.png"
"s1e6-fish-ball-zicai","鱼丸紫菜煲","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e6-fish-ball-zicai.png","/food-images/s1e6-fish-ball-zicai.png"
"s1e6-steamed-fish","清蒸鱼","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e6-steamed-fish.png","/food-images/s1e6-steamed-fish.png"
"s1e6-white-cut-chicken","白切鸡","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e6-white-cut-chicken.png","/food-images/s1e6-white-cut-chicken.png"
"s1e7-new-rice-festival","新米节","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e7-new-rice-festival.png","/food-images/s1e7-new-rice-festival.png"
"s1e7-zhangzidao-seafood","獐子岛海产品","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e7-zhangzidao-seafood.png","/food-images/s1e7-zhangzidao-seafood.png"
"s1e7-river-crab","河蟹","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e7-river-crab.png","/food-images/s1e7-river-crab.png"
"s1e7-hairy-crab","大闸蟹","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e7-hairy-crab.png","/food-images/s1e7-hairy-crab.png"
"s1e7-xinghua-taro","芋头","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e7-xinghua-taro.png","/food-images/s1e7-xinghua-taro.png"
"s1e7-wang-tofu","蟹黄汪豆腐","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s1e7-wang-tofu.png","/food-images/s1e7-wang-tofu.png"
"s2e1-suyou-honey","酥油蜂蜜","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e1-suyou-honey.png","/food-images/s2e1-suyou-honey.png"
"s2e1-spicy-sausage","麻辣香肠","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e1-spicy-sausage.png","/food-images/s2e1-spicy-sausage.png"
"s2e1-smoked-larou","烟熏腊肉","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e1-smoked-larou.png","/food-images/s2e1-smoked-larou.png"
"s2e1-leshan-douhua","乐山嫩豆花","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e1-leshan-douhua.png","/food-images/s2e1-leshan-douhua.png"
"s2e1-kuandaimian","蓝田裤带面","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e1-kuandaimian.png","/food-images/s2e1-kuandaimian.png"
"s2e1-wangchao","红烧望潮","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e1-wangchao.png","/food-images/s2e1-wangchao.png"
"s2e1-tiaotiaoyu","清炖跳跳鱼","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e1-tiaotiaoyu.png","/food-images/s2e1-tiaotiaoyu.png"
"s2e1-jianbing","煎饼卷大葱","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e1-jianbing.png","/food-images/s2e1-jianbing.png"
"s2e1-siwawa","丝娃娃","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e1-siwawa.png","/food-images/s2e1-siwawa.png"
"s2e1-kaoya-juanbing","烤鸭卷饼","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e1-kaoya-juanbing.png","/food-images/s2e1-kaoya-juanbing.png"
"s2e1-leishan-fish-sauce","雷山鱼酱","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e1-leishan-fish-sauce.png","/food-images/s2e1-leishan-fish-sauce.png"
"s2e1-rice-flower-fish","鱼酱炖稻花鱼","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e1-rice-flower-fish.png","/food-images/s2e1-rice-flower-fish.png"
"s2e1-luobo-rice","萝卜饭","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e1-luobo-rice.png","/food-images/s2e1-luobo-rice.png"
"s2e2-beef-potsticker","牛肉锅贴","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e2-beef-potsticker.png","/food-images/s2e2-beef-potsticker.png"
"s2e2-huizhou-stinky-tofu","徽州臭豆腐","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e2-huizhou-stinky-tofu.png","/food-images/s2e2-huizhou-stinky-tofu.png"
"s2e2-guoba","油炸锅巴","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e2-guoba.png","/food-images/s2e2-guoba.png"
"s2e2-zhuer","凉拌猪耳","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e2-zhuer.png","/food-images/s2e2-zhuer.png"
"s2e2-kongxin-noodle","空心挂面","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e2-kongxin-noodle.png","/food-images/s2e2-kongxin-noodle.png"
"s2e2-hanzhong-mianpi","汉中面皮","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e2-hanzhong-mianpi.png","/food-images/s2e2-hanzhong-mianpi.png"
"s2e2-ningxia-noodle","宁夏手擀面","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e2-ningxia-noodle.png","/food-images/s2e2-ningxia-noodle.png"
"s2e2-tianshuimian","四川甜水面","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e2-tianshuimian.png","/food-images/s2e2-tianshuimian.png"
"s2e2-hele","山西饸饹","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e2-hele.png","/food-images/s2e2-hele.png"
"s2e2-reganmian","武汉热干面","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e2-reganmian.png","/food-images/s2e2-reganmian.png"
"s2e2-chongqing-noodle","重庆小面","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e2-chongqing-noodle.png","/food-images/s2e2-chongqing-noodle.png"
"s2e2-suzhou-noodle","苏州头汤面","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e2-suzhou-noodle.png","/food-images/s2e2-suzhou-noodle.png"
"s2e2-oyster-omelette","蚝烙","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e2-oyster-omelette.png","/food-images/s2e2-oyster-omelette.png"
"s2e2-yangzhou-feast","烫干丝","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e2-yangzhou-feast.png","/food-images/s2e2-yangzhou-feast.png"
